framework,waf_type,recommended_tool,recommended_wordlist,recommended_extensions,recommended_threads,recommended_delay_ms
WordPress,Sucuri,feroxbuster,cms-wordpress.txt,.php,26,0
Vue,F5_BIG_IP,feroxbuster,common.txt,.html,30,0
React,AWS_WAF,ffuf,directory-list-2.3-medium.txt,none,9,819
Node.js,None,gobuster,api-endpoints.txt,.json,43,0
WordPress,AWS_WAF,ffuf,cms-wordpress.txt,.php,15,288
ASP.NET,None,gobuster,directory-list-2.3-medium.txt,.html,50,0
React,Sucuri,gobuster,directory-list-2.3-medium.txt,none,49,0
React,ModSecurity,gobuster,directory-list-2.3-medium.txt,.html,48,0
Vue,ModSecurity,feroxbuster,directory-list-2.3-medium.txt,".bak,.old,.swp",40,0
Django,Sucuri,feroxbuster,api-endpoints.txt,.json,25,0
Node.js,Imperva,ffuf,api-endpoints.txt,.json,12,206
Vue,None,feroxbuster,common.txt,".bak,.old,.swp",45,0
Django,None,gobuster,api-endpoints.txt,.json,34,0
Express,None,gobuster,common.txt,none,32,0
WordPress,Cloudflare,ffuf,cms-wordpress.txt,.php,7,892
ASP.NET,ModSecurity,feroxbuster,directory-list-2.3-medium.txt,none,31,0
Vue,Imperva,ffuf,common.txt,.html,14,508
React,Sucuri,gobuster,common.txt,".bak,.old,.swp",38,0
Vue,Cloudflare,ffuf,directory-list-2.3-medium.txt,".bak,.old,.swp",5,762
React,AWS_WAF,ffuf,common.txt,.html,11,997
Django,None,feroxbuster,api-endpoints.txt,.json,30,0
ASP.NET,Sucuri,feroxbuster,common.txt,.php,36,0
Node.js,ModSecurity,feroxbuster,api-endpoints.txt,.json,41,0
React,Imperva,ffuf,directory-list-2.3-medium.txt,.html,10,922
Express,AWS_WAF,ffuf,common.txt,.php,15,575
Express,Cloudflare,ffuf,common.txt,none,15,709
ASP.NET,Cloudflare,ffuf,directory-list-2.3-medium.txt,.html,6,674
Django,Cloudflare,ffuf,api-endpoints.txt,.json,8,473
Laravel,Imperva,ffuf,api-endpoints.txt,.json,10,460
Express,F5_BIG_IP,gobuster,common.txt,.php,24,0
Node.js,F5_BIG_IP,gobuster,api-endpoints.txt,.json,40,0
Laravel,Cloudflare,ffuf,api-endpoints.txt,.json,7,758
ASP.NET,Cloudflare,ffuf,directory-list-2.3-medium.txt,none,10,463
Laravel,Sucuri,gobuster,api-endpoints.txt,.json,28,0
Node.js,F5_BIG_IP,feroxbuster,api-endpoints.txt,.json,29,0
Vue,Imperva,ffuf,common.txt,".bak,.old,.swp",7,995
Laravel,F5_BIG_IP,feroxbuster,api-endpoints.txt,.json,46,0
Spring_Boot,Imperva,ffuf,common.txt,none,10,826
React,Imperva,ffuf,common.txt,".bak,.old,.swp",6,798
Laravel,AWS_WAF,ffuf,api-endpoints.txt,.json,11,478
ASP.NET,Cloudflare,ffuf,directory-list-2.3-medium.txt,.php,7,257
Node.js,Cloudflare,ffuf,api-endpoints.txt,.json,9,243
Node.js,Imperva,ffuf,api-endpoints.txt,.json,11,999
Node.js,Sucuri,gobuster,api-endpoints.txt,.json,30,0
Express,AWS_WAF,ffuf,common.txt,.html,15,926
WordPress,Cloudflare,ffuf,cms-wordpress.txt,.php,9,286
Vue,Sucuri,feroxbuster,directory-list-2.3-medium.txt,.html,35,0
ASP.NET,F5_BIG_IP,feroxbuster,common.txt,none,26,0
Vue,Imperva,ffuf,common.txt,".bak,.old,.swp",12,625
ASP.NET,ModSecurity,gobuster,directory-list-2.3-medium.txt,.php,26,0
Node.js,Sucuri,gobuster,api-endpoints.txt,.json,41,0
React,ModSecurity,feroxbuster,directory-list-2.3-medium.txt,none,44,0
ASP.NET,Cloudflare,ffuf,common.txt,".bak,.old,.swp",11,458
Spring_Boot,Cloudflare,ffuf,directory-list-2.3-medium.txt,.php,7,236
ASP.NET,AWS_WAF,ffuf,directory-list-2.3-medium.txt,.php,5,293
Unknown,Sucuri,feroxbuster,common.txt,none,43,0
React,Sucuri,gobuster,directory-list-2.3-medium.txt,.html,35,0
WordPress,ModSecurity,gobuster,cms-wordpress.txt,.php,30,0
Laravel,Cloudflare,ffuf,api-endpoints.txt,.json,5,517
Node.js,Cloudflare,ffuf,api-endpoints.txt,.json,7,547
WordPress,ModSecurity,gobuster,cms-wordpress.txt,.php,41,0
Express,Imperva,ffuf,common.txt,".bak,.old,.swp",14,330
Django,Imperva,ffuf,api-endpoints.txt,.json,6,589
Laravel,None,feroxbuster,api-endpoints.txt,.json,44,0
Django,None,feroxbuster,api-endpoints.txt,.json,44,0
Vue,Imperva,ffuf,directory-list-2.3-medium.txt,none,10,930
React,Cloudflare,ffuf,directory-list-2.3-medium.txt,.html,13,321
Vue,Cloudflare,ffuf,directory-list-2.3-medium.txt,".bak,.old,.swp",11,829
ASP.NET,ModSecurity,feroxbuster,common.txt,none,42,0
React,None,feroxbuster,common.txt,".bak,.old,.swp",37,0
Django,F5_BIG_IP,gobuster,api-endpoints.txt,.json,46,0
Node.js,AWS_WAF,ffuf,api-endpoints.txt,.json,11,783
Express,F5_BIG_IP,feroxbuster,directory-list-2.3-medium.txt,".bak,.old,.swp",22,0
Django,F5_BIG_IP,gobuster,api-endpoints.txt,.json,34,0
Vue,Imperva,ffuf,common.txt,".bak,.old,.swp",9,462
Node.js,AWS_WAF,ffuf,api-endpoints.txt,.json,9,844
Laravel,ModSecurity,gobuster,api-endpoints.txt,.json,22,0
Vue,F5_BIG_IP,feroxbuster,common.txt,none,30,0
WordPress,ModSecurity,feroxbuster,cms-wordpress.txt,.php,26,0
React,AWS_WAF,ffuf,directory-list-2.3-medium.txt,.html,6,230
ASP.NET,AWS_WAF,ffuf,common.txt,.php,14,416
React,Sucuri,gobuster,common.txt,".bak,.old,.swp",40,0
Node.js,AWS_WAF,ffuf,api-endpoints.txt,.json,9,690
React,None,gobuster,directory-list-2.3-medium.txt,.html,45,0
Unknown,Imperva,ffuf,directory-list-2.3-medium.txt,.php,10,524
WordPress,ModSecurity,gobuster,cms-wordpress.txt,.php,44,0
React,F5_BIG_IP,feroxbuster,directory-list-2.3-medium.txt,none,44,0
Spring_Boot,ModSecurity,gobuster,common.txt,".bak,.old,.swp",34,0
ASP.NET,Sucuri,feroxbuster,directory-list-2.3-medium.txt,.html,25,0
Express,AWS_WAF,ffuf,common.txt,".bak,.old,.swp",15,659
Spring_Boot,AWS_WAF,ffuf,directory-list-2.3-medium.txt,".bak,.old,.swp",6,957
Unknown,Cloudflare,ffuf,directory-list-2.3-medium.txt,.html,14,692
Unknown,Cloudflare,ffuf,directory-list-2.3-medium.txt,none,6,405
ASP.NET,Cloudflare,ffuf,directory-list-2.3-medium.txt,".bak,.old,.swp",11,227
Unknown,None,gobuster,common.txt,.html,23,0
Unknown,None,feroxbuster,common.txt,.html,39,0
React,Sucuri,gobuster,directory-list-2.3-medium.txt,.html,34,0
Vue,F5_BIG_IP,feroxbuster,directory-list-2.3-medium.txt,".bak,.old,.swp",32,0
Spring_Boot,F5_BIG_IP,gobuster,directory-list-2.3-medium.txt,none,44,0
React,None,gobuster,directory-list-2.3-medium.txt,".bak,.old,.swp",43,0
Express,Cloudflare,ffuf,directory-list-2.3-medium.txt,".bak,.old,.swp",11,221
Django,ModSecurity,gobuster,api-endpoints.txt,.json,32,0
Vue,Cloudflare,ffuf,common.txt,".bak,.old,.swp",15,508
WordPress,F5_BIG_IP,gobuster,cms-wordpress.txt,.php,26,0
React,Imperva,ffuf,common.txt,.html,9,831
Django,Sucuri,gobuster,api-endpoints.txt,.json,32,0
Express,ModSecurity,gobuster,directory-list-2.3-medium.txt,.html,25,0
React,F5_BIG_IP,gobuster,common.txt,.php,40,0
Unknown,ModSecurity,gobuster,directory-list-2.3-medium.txt,.php,22,0
Vue,Sucuri,feroxbuster,common.txt,".bak,.old,.swp",47,0
Node.js,ModSecurity,gobuster,api-endpoints.txt,.json,47,0
ASP.NET,None,feroxbuster,common.txt,.php,41,0
Vue,ModSecurity,feroxbuster,common.txt,.php,32,0
Django,Imperva,ffuf,api-endpoints.txt,.json,9,636
Unknown,ModSecurity,gobuster,common.txt,.php,28,0
Django,ModSecurity,gobuster,api-endpoints.txt,.json,42,0
Spring_Boot,Imperva,ffuf,common.txt,".bak,.old,.swp",11,328
Node.js,Cloudflare,ffuf,api-endpoints.txt,.json,6,849
Spring_Boot,None,gobuster,directory-list-2.3-medium.txt,".bak,.old,.swp",20,0
Express,ModSecurity,gobuster,common.txt,.html,48,0
Django,F5_BIG_IP,feroxbuster,api-endpoints.txt,.json,39,0
Spring_Boot,ModSecurity,gobuster,directory-list-2.3-medium.txt,none,37,0
Express,None,feroxbuster,common.txt,".bak,.old,.swp",33,0
Express,Sucuri,gobuster,directory-list-2.3-medium.txt,.html,42,0
Node.js,F5_BIG_IP,gobuster,api-endpoints.txt,.json,46,0
Unknown,Sucuri,gobuster,common.txt,.php,36,0
Django,AWS_WAF,ffuf,api-endpoints.txt,.json,15,329
Unknown,F5_BIG_IP,feroxbuster,directory-list-2.3-medium.txt,.html,40,0
Spring_Boot,F5_BIG_IP,gobuster,common.txt,.php,33,0
Django,None,feroxbuster,api-endpoints.txt,.json,50,0
WordPress,Sucuri,feroxbuster,cms-wordpress.txt,.php,23,0
WordPress,Imperva,ffuf,cms-wordpress.txt,.php,11,298
Node.js,Imperva,ffuf,api-endpoints.txt,.json,12,908
ASP.NET,Sucuri,feroxbuster,directory-list-2.3-medium.txt,".bak,.old,.swp",42,0
Express,AWS_WAF,ffuf,directory-list-2.3-medium.txt,.html,15,396
ASP.NET,ModSecurity,gobuster,common.txt,.html,41,0
Spring_Boot,ModSecurity,feroxbuster,common.txt,.html,46,0
ASP.NET,Cloudflare,ffuf,directory-list-2.3-medium.txt,".bak,.old,.swp",11,631
Django,Imperva,ffuf,api-endpoints.txt,.json,5,670
Laravel,Imperva,ffuf,api-endpoints.txt,.json,6,745
ASP.NET,None,feroxbuster,directory-list-2.3-medium.txt,none,20,0
WordPress,Cloudflare,ffuf,cms-wordpress.txt,.php,8,784
Spring_Boot,Sucuri,gobuster,common.txt,none,44,0
ASP.NET,AWS_WAF,ffuf,directory-list-2.3-medium.txt,.html,10,732
ASP.NET,AWS_WAF,ffuf,directory-list-2.3-medium.txt,".bak,.old,.swp",5,655
Spring_Boot,None,gobuster,common.txt,".bak,.old,.swp",50,0
Django,ModSecurity,feroxbuster,api-endpoints.txt,.json,40,0
Django,ModSecurity,feroxbuster,api-endpoints.txt,.json,23,0
Express,None,gobuster,common.txt,.html,30,0
Spring_Boot,Cloudflare,ffuf,common.txt,".bak,.old,.swp",6,930
Spring_Boot,F5_BIG_IP,feroxbuster,common.txt,none,32,0
WordPress,Sucuri,gobuster,cms-wordpress.txt,.php,26,0
WordPress,ModSecurity,feroxbuster,cms-wordpress.txt,.php,34,0
Vue,AWS_WAF,ffuf,common.txt,.php,13,336
ASP.NET,Imperva,ffuf,directory-list-2.3-medium.txt,none,15,285
Express,Imperva,ffuf,common.txt,.html,6,523
Laravel,F5_BIG_IP,gobuster,api-endpoints.txt,.json,36,0
Unknown,ModSecurity,gobuster,common.txt,.html,44,0
Laravel,AWS_WAF,ffuf,api-endpoints.txt,.json,13,951
Vue,None,gobuster,directory-list-2.3-medium.txt,none,47,0
Express,Imperva,ffuf,directory-list-2.3-medium.txt,.html,6,711
Express,None,feroxbuster,directory-list-2.3-medium.txt,none,25,0
WordPress,Cloudflare,ffuf,cms-wordpress.txt,.php,15,714
React,AWS_WAF,ffuf,directory-list-2.3-medium.txt,none,10,537
Laravel,Cloudflare,ffuf,api-endpoints.txt,.json,7,986
ASP.NET,F5_BIG_IP,gobuster,common.txt,.php,27,0
WordPress,AWS_WAF,ffuf,cms-wordpress.txt,.php,5,916
Django,ModSecurity,feroxbuster,api-endpoints.txt,.json,47,0
Node.js,F5_BIG_IP,gobuster,api-endpoints.txt,.json,48,0
Laravel,ModSecurity,gobuster,api-endpoints.txt,.json,41,0
Spring_Boot,F5_BIG_IP,feroxbuster,common.txt,.php,23,0
WordPress,Imperva,ffuf,cms-wordpress.txt,.php,5,261
Express,AWS_WAF,ffuf,directory-list-2.3-medium.txt,none,11,602
Unknown,Sucuri,feroxbuster,common.txt,.php,40,0
React,None,feroxbuster,directory-list-2.3-medium.txt,none,42,0
ASP.NET,None,feroxbuster,directory-list-2.3-medium.txt,none,35,0
Spring_Boot,Sucuri,feroxbuster,common.txt,".bak,.old,.swp",28,0
Express,Sucuri,gobuster,directory-list-2.3-medium.txt,none,28,0
Node.js,F5_BIG_IP,gobuster,api-endpoints.txt,.json,32,0
Laravel,ModSecurity,gobuster,api-endpoints.txt,.json,48,0
Vue,ModSecurity,gobuster,directory-list-2.3-medium.txt,none,24,0
React,F5_BIG_IP,gobuster,directory-list-2.3-medium.txt,.php,23,0
Vue,Cloudflare,ffuf,directory-list-2.3-medium.txt,none,12,993
WordPress,AWS_WAF,ffuf,cms-wordpress.txt,.php,13,999
React,None,feroxbuster,directory-list-2.3-medium.txt,".bak,.old,.swp",35,0
WordPress,Sucuri,feroxbuster,cms-wordpress.txt,.php,27,0
Vue,AWS_WAF,ffuf,common.txt,.php,11,880
Unknown,None,feroxbuster,common.txt,.php,41,0
ASP.NET,None,gobuster,common.txt,none,46,0
Vue,Imperva,ffuf,common.txt,none,11,526
Node.js,Imperva,ffuf,api-endpoints.txt,.json,10,707
React,AWS_WAF,ffuf,directory-list-2.3-medium.txt,.php,9,984
Vue,AWS_WAF,ffuf,directory-list-2.3-medium.txt,.php,11,761
Unknown,Cloudflare,ffuf,common.txt,".bak,.old,.swp",7,956
Spring_Boot,None,gobuster,directory-list-2.3-medium.txt,none,24,0
Laravel,None,feroxbuster,api-endpoints.txt,.json,28,0
Django,AWS_WAF,ffuf,api-endpoints.txt,.json,7,323
Spring_Boot,Imperva,ffuf,common.txt,.php,6,769
WordPress,F5_BIG_IP,feroxbuster,cms-wordpress.txt,.php,36,0
Vue,ModSecurity,feroxbuster,directory-list-2.3-medium.txt,.php,26,0
Node.js,Cloudflare,ffuf,api-endpoints.txt,.json,11,892
Spring_Boot,F5_BIG_IP,gobuster,directory-list-2.3-medium.txt,.php,41,0
Node.js,Imperva,ffuf,api-endpoints.txt,.json,6,295
Django,Cloudflare,ffuf,api-endpoints.txt,.json,10,625
Unknown,Cloudflare,ffuf,common.txt,.php,13,655
Vue,None,gobuster,common.txt,none,32,0
Vue,Sucuri,gobuster,common.txt,none,38,0
Unknown,F5_BIG_IP,gobuster,directory-list-2.3-medium.txt,.php,37,0
Laravel,Imperva,ffuf,api-endpoints.txt,.json,13,402
React,None,gobuster,common.txt,.php,42,0
Vue,F5_BIG_IP,feroxbuster,directory-list-2.3-medium.txt,none,46,0
Express,Cloudflare,ffuf,common.txt,".bak,.old,.swp",7,720
Spring_Boot,ModSecurity,feroxbuster,directory-list-2.3-medium.txt,".bak,.old,.swp",50,0
Unknown,Sucuri,gobuster,common.txt,".bak,.old,.swp",32,0
React,F5_BIG_IP,gobuster,common.txt,".bak,.old,.swp",21,0
Express,None,feroxbuster,common.txt,".bak,.old,.swp",23,0
Node.js,ModSecurity,feroxbuster,api-endpoints.txt,.json,26,0
Node.js,Sucuri,gobuster,api-endpoints.txt,.json,40,0
Spring_Boot,AWS_WAF,ffuf,directory-list-2.3-medium.txt,".bak,.old,.swp",12,510
Node.js,AWS_WAF,ffuf,api-endpoints.txt,.json,12,753
Spring_Boot,ModSecurity,gobuster,directory-list-2.3-medium.txt,none,31,0
WordPress,AWS_WAF,ffuf,cms-wordpress.txt,.php,9,891
Node.js,Imperva,ffuf,api-endpoints.txt,.json,7,967
WordPress,Imperva,ffuf,cms-wordpress.txt,.php,14,931
React,Sucuri,feroxbuster,directory-list-2.3-medium.txt,".bak,.old,.swp",28,0
Spring_Boot,Imperva,ffuf,directory-list-2.3-medium.txt,.php,5,292
Node.js,ModSecurity,feroxbuster,api-endpoints.txt,.json,24,0
WordPress,None,gobuster,cms-wordpress.txt,.php,47,0
Spring_Boot,Sucuri,gobuster,directory-list-2.3-medium.txt,".bak,.old,.swp",20,0
Spring_Boot,Sucuri,feroxbuster,directory-list-2.3-medium.txt,.html,35,0
Laravel,Sucuri,feroxbuster,api-endpoints.txt,.json,33,0
ASP.NET,F5_BIG_IP,feroxbuster,common.txt,".bak,.old,.swp",20,0
Vue,Imperva,ffuf,directory-list-2.3-medium.txt,none,14,937
Express,Cloudflare,ffuf,directory-list-2.3-medium.txt,.php,7,640
Unknown,Imperva,ffuf,common.txt,none,15,293
React,F5_BIG_IP,gobuster,common.txt,".bak,.old,.swp",40,0
WordPress,ModSecurity,gobuster,cms-wordpress.txt,.php,28,0
ASP.NET,Sucuri,gobuster,common.txt,.php,23,0
React,Imperva,ffuf,directory-list-2.3-medium.txt,.php,5,968
Spring_Boot,F5_BIG_IP,feroxbuster,common.txt,.php,48,0
Laravel,F5_BIG_IP,gobuster,api-endpoints.txt,.json,42,0
React,AWS_WAF,ffuf,common.txt,none,8,279
Express,F5_BIG_IP,gobuster,common.txt,.html,27,0
Laravel,None,feroxbuster,api-endpoints.txt,.json,36,0
Django,Sucuri,gobuster,api-endpoints.txt,.json,49,0
ASP.NET,Sucuri,feroxbuster,directory-list-2.3-medium.txt,none,42,0
ASP.NET,F5_BIG_IP,gobuster,common.txt,.html,31,0
Laravel,None,feroxbuster,api-endpoints.txt,.json,31,0
Express,F5_BIG_IP,gobuster,directory-list-2.3-medium.txt,.html,22,0
Laravel,Sucuri,gobuster,api-endpoints.txt,.json,24,0
Django,ModSecurity,gobuster,api-endpoints.txt,.json,35,0
Django,ModSecurity,feroxbuster,api-endpoints.txt,.json,29,0
Laravel,F5_BIG_IP,feroxbuster,api-endpoints.txt,.json,36,0
Node.js,Cloudflare,ffuf,api-endpoints.txt,.json,12,593
Node.js,Cloudflare,ffuf,api-endpoints.txt,.json,7,766
Vue,ModSecurity,feroxbuster,directory-list-2.3-medium.txt,.html,43,0
Express,Imperva,ffuf,common.txt,.php,7,290
Spring_Boot,Sucuri,gobuster,directory-list-2.3-medium.txt,.php,36,0
Vue,Imperva,ffuf,common.txt,none,9,816
React,ModSecurity,gobuster,common.txt,none,29,0
ASP.NET,ModSecurity,feroxbuster,directory-list-2.3-medium.txt,none,45,0
Unknown,Cloudflare,ffuf,common.txt,.html,5,231
Django,Cloudflare,ffuf,api-endpoints.txt,.json,8,906
Laravel,F5_BIG_IP,feroxbuster,api-endpoints.txt,.json,50,0
Node.js,None,feroxbuster,api-endpoints.txt,.json,25,0
ASP.NET,Imperva,ffuf,directory-list-2.3-medium.txt,none,6,557
WordPress,None,gobuster,cms-wordpress.txt,.php,41,0
WordPress,AWS_WAF,ffuf,cms-wordpress.txt,.php,10,530
ASP.NET,F5_BIG_IP,gobuster,common.txt,".bak,.old,.swp",38,0
Express,Cloudflare,ffuf,common.txt,".bak,.old,.swp",6,809
Laravel,F5_BIG_IP,gobuster,api-endpoints.txt,.json,23,0
WordPress,AWS_WAF,ffuf,cms-wordpress.txt,.php,5,224
Express,AWS_WAF,ffuf,common.txt,none,12,666
Django,None,feroxbuster,api-endpoints.txt,.json,40,0
Unknown,Sucuri,gobuster,common.txt,.html,36,0
ASP.NET,ModSecurity,gobuster,common.txt,.php,26,0
ASP.NET,F5_BIG_IP,feroxbuster,common.txt,".bak,.old,.swp",38,0
Spring_Boot,F5_BIG_IP,feroxbuster,common.txt,".bak,.old,.swp",21,0
Laravel,ModSecurity,gobuster,api-endpoints.txt,.json,36,0
Unknown,AWS_WAF,ffuf,common.txt,.php,12,892
React,ModSecurity,gobuster,common.txt,.php,47,0
WordPress,AWS_WAF,ffuf,cms-wordpress.txt,.php,13,942
WordPress,Imperva,ffuf,cms-wordpress.txt,.php,7,323
WordPress,Cloudflare,ffuf,cms-wordpress.txt,.php,12,637
WordPress,ModSecurity,gobuster,cms-wordpress.txt,.php,29,0
Express,Imperva,ffuf,common.txt,none,7,640
Unknown,ModSecurity,gobuster,common.txt,.php,36,0
Django,F5_BIG_IP,feroxbuster,api-endpoints.txt,.json,38,0
Express,Cloudflare,ffuf,common.txt,.php,9,811
Unknown,AWS_WAF,ffuf,directory-list-2.3-medium.txt,none,6,965
Laravel,Sucuri,feroxbuster,api-endpoints.txt,.json,48,0
Django,Cloudflare,ffuf,api-endpoints.txt,.json,14,212
ASP.NET,Imperva,ffuf,common.txt,".bak,.old,.swp",8,233
Spring_Boot,Sucuri,feroxbuster,directory-list-2.3-medium.txt,.php,48,0
Express,Imperva,ffuf,directory-list-2.3-medium.txt,.php,5,582
ASP.NET,F5_BIG_IP,gobuster,common.txt,none,47,0
Vue,Sucuri,gobuster,common.txt,.html,29,0
Express,None,gobuster,directory-list-2.3-medium.txt,.php,46,0
WordPress,Sucuri,feroxbuster,cms-wordpress.txt,.php,40,0
WordPress,Cloudflare,ffuf,cms-wordpress.txt,.php,7,884
React,Imperva,ffuf,common.txt,".bak,.old,.swp",9,547
ASP.NET,ModSecurity,feroxbuster,directory-list-2.3-medium.txt,.php,49,0
Express,Cloudflare,ffuf,common.txt,none,15,382
Django,ModSecurity,gobuster,api-endpoints.txt,.json,25,0
Spring_Boot,Imperva,ffuf,directory-list-2.3-medium.txt,.html,10,902
React,F5_BIG_IP,gobuster,common.txt,.html,46,0
Laravel,Sucuri,gobuster,api-endpoints.txt,.json,29,0
ASP.NET,ModSecurity,feroxbuster,directory-list-2.3-medium.txt,.php,46,0
Django,Sucuri,gobuster,api-endpoints.txt,.json,47,0
Django,AWS_WAF,ffuf,api-endpoints.txt,.json,5,296
React,None,gobuster,directory-list-2.3-medium.txt,".bak,.old,.swp",32,0
React,None,gobuster,directory-list-2.3-medium.txt,.php,36,0
Django,None,gobuster,api-endpoints.txt,.json,43,0
Laravel,None,feroxbuster,api-endpoints.txt,.json,49,0
Laravel,Sucuri,gobuster,api-endpoints.txt,.json,35,0
React,Imperva,ffuf,common.txt,.php,14,909
WordPress,ModSecurity,feroxbuster,cms-wordpress.txt,.php,36,0
ASP.NET,F5_BIG_IP,feroxbuster,common.txt,".bak,.old,.swp",50,0
Django,Imperva,ffuf,api-endpoints.txt,.json,11,911
Unknown,Cloudflare,ffuf,directory-list-2.3-medium.txt,.html,9,634
Spring_Boot,AWS_WAF,ffuf,directory-list-2.3-medium.txt,.php,5,412
Spring_Boot,Cloudflare,ffuf,common.txt,.php,6,967
Laravel,Sucuri,gobuster,api-endpoints.txt,.json,41,0
Laravel,Sucuri,feroxbuster,api-endpoints.txt,.json,20,0
Vue,Cloudflare,ffuf,common.txt,none,13,950
React,ModSecurity,feroxbuster,directory-list-2.3-medium.txt,".bak,.old,.swp",46,0
React,None,feroxbuster,common.txt,".bak,.old,.swp",40,0
Laravel,ModSecurity,feroxbuster,api-endpoints.txt,.json,36,0
Unknown,Imperva,ffuf,directory-list-2.3-medium.txt,.php,11,269
Vue,Cloudflare,ffuf,common.txt,.php,9,503
Unknown,F5_BIG_IP,gobuster,common.txt,none,25,0
ASP.NET,Cloudflare,ffuf,directory-list-2.3-medium.txt,none,9,563
React,None,feroxbuster,directory-list-2.3-medium.txt,none,47,0
ASP.NET,F5_BIG_IP,feroxbuster,common.txt,.php,30,0
Unknown,F5_BIG_IP,feroxbuster,directory-list-2.3-medium.txt,.php,45,0
ASP.NET,Cloudflare,ffuf,common.txt,".bak,.old,.swp",12,581
WordPress,F5_BIG_IP,gobuster,cms-wordpress.txt,.php,25,0
Laravel,Sucuri,feroxbuster,api-endpoints.txt,.json,37,0
Express,ModSecurity,feroxbuster,directory-list-2.3-medium.txt,none,35,0
Spring_Boot,AWS_WAF,ffuf,directory-list-2.3-medium.txt,".bak,.old,.swp",10,518
Express,F5_BIG_IP,feroxbuster,directory-list-2.3-medium.txt,.html,50,0
React,AWS_WAF,ffuf,common.txt,.html,14,801
Vue,Imperva,ffuf,directory-list-2.3-medium.txt,".bak,.old,.swp",5,780
ASP.NET,None,feroxbuster,common.txt,".bak,.old,.swp",34,0
React,ModSecurity,feroxbuster,common.txt,.html,29,0
Spring_Boot,Cloudflare,ffuf,directory-list-2.3-medium.txt,.html,12,468
Django,Cloudflare,ffuf,api-endpoints.txt,.json,12,604
Node.js,AWS_WAF,ffuf,api-endpoints.txt,.json,11,610
Laravel,Imperva,ffuf,api-endpoints.txt,.json,10,751
React,Cloudflare,ffuf,common.txt,none,11,204
Node.js,AWS_WAF,ffuf,api-endpoints.txt,.json,7,613
Spring_Boot,Cloudflare,ffuf,common.txt,".bak,.old,.swp",8,304
Express,None,gobuster,directory-list-2.3-medium.txt,.html,38,0
Express,Imperva,ffuf,directory-list-2.3-medium.txt,.php,15,886
Spring_Boot,AWS_WAF,ffuf,common.txt,".bak,.old,.swp",8,606
WordPress,Imperva,ffuf,cms-wordpress.txt,.php,14,645
WordPress,ModSecurity,gobuster,cms-wordpress.txt,.php,31,0
Django,ModSecurity,gobuster,api-endpoints.txt,.json,38,0
Laravel,Cloudflare,ffuf,api-endpoints.txt,.json,9,207
Express,AWS_WAF,ffuf,common.txt,".bak,.old,.swp",11,608
WordPress,ModSecurity,gobuster,cms-wordpress.txt,.php,36,0
Django,Sucuri,gobuster,api-endpoints.txt,.json,40,0
Django,None,gobuster,api-endpoints.txt,.json,28,0
Laravel,AWS_WAF,ffuf,api-endpoints.txt,.json,11,389
Unknown,Sucuri,feroxbuster,directory-list-2.3-medium.txt,.php,24,0
Django,F5_BIG_IP,gobuster,api-endpoints.txt,.json,21,0
WordPress,F5_BIG_IP,feroxbuster,cms-wordpress.txt,.php,37,0
Node.js,AWS_WAF,ffuf,api-endpoints.txt,.json,9,598
Vue,None,gobuster,directory-list-2.3-medium.txt,.php,30,0
Laravel,AWS_WAF,ffuf,api-endpoints.txt,.json,7,315
Spring_Boot,F5_BIG_IP,feroxbuster,directory-list-2.3-medium.txt,.php,29,0
Django,Imperva,ffuf,api-endpoints.txt,.json,11,273
Spring_Boot,Cloudflare,ffuf,directory-list-2.3-medium.txt,none,9,572
Laravel,Sucuri,gobuster,api-endpoints.txt,.json,27,0
WordPress,F5_BIG_IP,feroxbuster,cms-wordpress.txt,.php,42,0
Express,Sucuri,feroxbuster,directory-list-2.3-medium.txt,.html,43,0
Vue,AWS_WAF,ffuf,common.txt,".bak,.old,.swp",14,965
Node.js,Sucuri,feroxbuster,api-endpoints.txt,.json,23,0
Django,F5_BIG_IP,gobuster,api-endpoints.txt,.json,43,0
Vue,Sucuri,gobuster,common.txt,.php,26,0
Express,AWS_WAF,ffuf,directory-list-2.3-medium.txt,none,7,869
WordPress,AWS_WAF,ffuf,cms-wordpress.txt,.php,12,516
Unknown,None,gobuster,common.txt,.html,50,0
ASP.NET,F5_BIG_IP,feroxbuster,common.txt,.html,39,0
React,Imperva,ffuf,directory-list-2.3-medium.txt,.html,12,880
WordPress,F5_BIG_IP,gobuster,cms-wordpress.txt,.php,24,0
React,Cloudflare,ffuf,directory-list-2.3-medium.txt,.php,10,425
ASP.NET,Sucuri,feroxbuster,directory-list-2.3-medium.txt,".bak,.old,.swp",36,0
Django,ModSecurity,gobuster,api-endpoints.txt,.json,50,0
Vue,Imperva,ffuf,directory-list-2.3-medium.txt,".bak,.old,.swp",6,352
Unknown,Imperva,ffuf,common.txt,.html,9,988
WordPress,Sucuri,gobuster,cms-wordpress.txt,.php,32,0
Vue,Cloudflare,ffuf,directory-list-2.3-medium.txt,.php,9,900
Laravel,Sucuri,feroxbuster,api-endpoints.txt,.json,42,0
Node.js,Cloudflare,ffuf,api-endpoints.txt,.json,6,687
WordPress,ModSecurity,gobuster,cms-wordpress.txt,.php,48,0
React,AWS_WAF,ffuf,directory-list-2.3-medium.txt,.html,12,570
Express,ModSecurity,gobuster,common.txt,.html,38,0
ASP.NET,Imperva,ffuf,directory-list-2.3-medium.txt,.html,11,293
